,finn_code,model_year,manufacturer,model,km,power,gear,trans,cylinder,fuel_type,model_age
90,138226433,2016,23,293,2.0,179.0,0,0,1.8,0,3
92,138226438,2016,30,418,2.0,233.0,0,0,2.4,3,3
93,138226385,2016,23,174,5.0,110.0,0,1,1.2,0,3
94,138226335,2018,30,421,0.0,150.0,0,0,2.0,1,1
95,138226363,2014,30,418,11.0,136.0,0,1,2.0,1,5
97,138226287,2015,29,195,7.0,150.0,0,1,1.4,0,4
98,105579828,2004,30,356,13.0,163.0,1,1,2.4,1,15
99,138226326,2006,28,75,12.0,116.0,1,1,2.0,1,13
100,138226302,2019,8,246,0.0,204.0,0,1,0.0,2,0
101,138226331,2018,23,244,2.0,190.0,0,0,2.0,1,1
102,138226172,2019,30,422,2.0,240.0,0,0,2.0,1,0
103,138076443,2011,6,175,10.0,95.0,1,1,1.6,1,8
104,138225060,2013,6,92,6.0,125.0,1,1,1.0,0,6
105,122377909,2007,29,306,12.0,140.0,1,0,2.0,1,12
107,115223003,2007,29,229,10.0,105.0,1,1,1.9,1,12
109,138225964,2018,30,359,1.0,190.0,0,1,2.0,1,1
110,138225927,2019,6,348,0.0,190.0,0,0,2.0,1,0
111,138225948,2016,11,369,8.0,111.0,0,1,0.0,2,3
112,138225821,2018,30,421,1.0,190.0,0,0,2.0,1,1
113,135186056,2006,16,299,12.0,136.0,1,0,2.0,0,13
114,134295098,2007,15,136,10.0,120.0,1,1,2.0,0,12
115,138225901,2016,3,233,8.0,122.0,1,1,2.0,1,3
116,138225799,2015,28,453,6.0,69.0,1,1,1.0,0,4
117,138225818,2017,13,148,1.0,150.0,0,0,2.0,0,2
119,138225714,2008,17,309,13.0,171.0,0,0,2.5,1,11
120,138224283,2016,29,107,3.0,122.0,1,0,2.0,1,3
121,138225722,2016,13,149,8.0,150.0,1,0,2.2,1,3
122,138225704,2017,0,59,9.0,190.0,0,0,3.0,1,2
123,138225680,2013,3,233,10.0,125.0,1,1,1.6,1,6
124,138224474,2006,23,174,9.0,64.0,1,1,1.2,0,13
125,138225602,2015,29,191,6.0,116.0,0,1,0.0,2,4
126,138225534,2018,30,421,1.0,407.0,0,0,2.0,3,1
127,138225544,2018,13,284,0.0,131.0,1,2,1.5,0,1
128,136054743,2003,29,191,13.0,105.0,1,1,1.6,0,16
129,138225373,2014,23,293,5.0,140.0,0,1,1.4,0,5
131,138225365,2019,15,141,0.0,224.0,0,0,1.5,3,0
132,138225248,2016,29,107,5.0,75.0,1,1,2.0,1,3
134,138225233,2013,29,397,6.0,140.0,0,1,2.0,1,6
135,138219826,2016,17,256,2.0,109.0,0,1,0.0,2,3
136,138225349,2018,0,326,1.0,258.0,0,0,3.0,3,1
137,138225230,2016,15,132,4.0,136.0,0,1,1.5,0,3
138,138225089,2016,29,405,8.0,150.0,0,0,2.0,1,3
140,138225191,2016,0,54,3.0,110.0,1,1,1.2,0,3
141,138225081,2011,19,36,7.0,112.0,0,1,1.6,1,8
142,138225030,2017,0,54,5.0,110.0,1,1,1.6,1,2
143,138225027,2018,1,8,3.0,224.0,0,0,1.5,3,1
144,138224962,2016,0,55,4.0,190.0,0,0,2.0,1,3
145,138224967,2018,26,428,0.0,140.0,0,0,1.4,0,1
146,138220179,2000,14,159,14.0,143.0,0,2,2.1,1,19
147,138224985,2013,6,248,11.0,140.0,0,0,2.0,1,6
148,138221694,2005,28,207,13.0,102.0,1,0,2.0,1,14
149,138224935,2011,19,36,7.0,112.0,0,1,1.6,1,8
151,136079576,2008,14,91,14.0,170.0,0,2,2.1,1,11
152,119607959,2018,15,106,0.0,136.0,0,1,1.5,0,1
153,138224473,2015,6,402,8.0,101.0,1,1,1.0,0,4
154,138224804,2014,20,266,8.0,258.0,0,0,3.0,1,5
155,138224781,2018,0,55,2.0,190.0,0,0,2.0,1,1
156,138224772,2017,1,18,2.0,184.0,0,0,2.0,0,2
158,103271013,2008,7,143,13.0,150.0,0,0,2.0,0,11
159,138224631,2016,20,118,3.0,416.0,0,0,3.0,3,3
160,138224646,2014,1,217,6.0,231.0,0,1,1.5,3,5
161,138224659,2018,29,192,3.0,184.0,0,0,2.0,1,1
162,138220554,2005,14,80,13.0,116.0,0,0,2.0,0,14
163,138224726,2016,0,56,6.0,190.0,0,0,2.0,1,3
164,138224598,2015,29,83,6.0,105.0,0,1,1.2,0,4
165,138221441,1999,29,191,11.0,75.0,1,1,1.0,0,20
166,138224438,2015,17,327,6.0,116.0,0,1,1.2,0,4
167,138224434,2017,30,359,2.0,235.0,0,0,2.0,1,2
169,138224466,2012,30,420,8.0,163.0,0,1,2.0,1,7
170,138224468,2014,30,443,9.0,215.0,0,0,2.4,1,5
172,138224403,2017,30,442,5.0,190.0,0,0,2.4,1,2
173,138224423,2019,16,299,0.0,230.0,0,0,0.0,3,0
174,138224319,2017,18,276,1.0,152.0,0,0,1.4,0,2
175,138224314,2016,29,397,5.0,110.0,1,1,1.6,1,3
176,138224282,2016,23,295,8.0,179.0,0,0,1.8,0,3
177,138224270,2016,29,191,3.0,116.0,0,1,0.0,2,3
179,138224173,2019,14,186,0.0,122.0,0,1,1.6,0,0
180,138224246,2018,30,444,6.0,407.0,0,0,2.0,3,1
181,133937333,1997,1,31,13.0,170.0,1,2,2.0,0,22
183,138218622,2012,14,429,11.0,136.0,1,2,2.1,1,7
184,138213852,1998,30,420,13.0,193.0,0,0,2.4,0,21
185,138224056,2016,0,52,0.0,95.0,1,1,1.0,0,3
186,138223713,2018,26,385,0.0,140.0,0,0,1.4,0,1
188,138218494,2005,19,303,12.0,90.0,1,1,2.0,1,14
189,138223847,2012,17,231,8.0,110.0,1,1,1.5,1,7
190,138223884,2015,30,415,6.0,114.0,1,1,1.6,1,4
191,138223843,2018,30,359,2.0,407.0,0,0,2.0,3,1
192,138219849,2003,29,312,8.0,64.0,1,1,1.2,0,16
193,138223804,2012,3,154,7.0,92.0,1,1,1.6,1,7
195,138217659,2004,13,16,8.0,105.0,0,1,1.6,0,15
196,138125591,2014,29,191,6.0,122.0,0,1,1.4,0,5
199,138221814,2008,26,383,9.0,91.0,1,0,1.3,0,11
200,138223607,2008,28,207,10.0,117.0,1,0,2.0,1,11
201,138223582,2017,21,245,3.0,177.0,0,0,2.0,1,2
202,138223600,2004,28,334,10.0,116.0,1,0,2.0,1,15
203,138223558,2015,30,443,8.0,215.0,0,0,2.4,1,4
204,138219395,2003,14,130,13.0,163.0,0,2,2.0,0,16
205,138223547,2009,28,413,8.0,90.0,1,0,1.4,1,10
206,138223540,2016,17,161,2.0,109.0,0,1,0.0,2,3
207,138223467,2016,30,444,6.0,190.0,0,0,2.0,1,3
208,138223433,2010,6,175,9.0,60.0,1,1,1.2,0,9
210,138223430,2012,30,443,11.0,163.0,0,0,2.4,1,7
211,138223423,2018,8,223,0.0,120.0,0,1,0.0,2,1
213,138222635,2005,14,367,13.0,163.0,0,2,1.8,0,14
214,138223391,2008,14,185,12.0,224.0,0,0,3.0,1,11
215,138223312,2018,8,223,0.0,120.0,0,1,0.0,2,1
216,138223394,2018,29,144,2.0,177.0,0,1,2.0,1,1
218,138219615,2003,28,207,13.0,102.0,1,0,2.0,1,16
219,138223305,2018,29,67,4.0,224.0,0,0,3.0,1,1
220,138223290,2007,28,138,11.0,90.0,1,1,1.4,1,12
221,137947361,2006,22,45,14.0,150.0,0,1,2.0,0,13
222,138223271,2017,30,421,3.0,235.0,0,0,2.0,1,2
223,138223206,2014,29,109,2.0,102.0,1,1,1.6,1,5
224,138223124,2018,28,318,1.0,98.0,0,1,1.8,3,1
225,138223098,2019,30,418,1.0,190.0,0,1,2.0,1,0
226,138220905,2008,14,80,9.0,109.0,0,1,2.0,1,11
227,138223066,2009,6,400,12.0,86.0,1,1,2.2,1,10
228,138222974,2016,0,52,3.0,95.0,1,1,1.0,0,3
229,138222976,2005,0,58,14.0,140.0,1,1,2.0,1,14
230,138222944,2016,23,174,2.0,75.0,1,1,1.0,0,3
233,138073828,2003,1,31,13.0,170.0,0,2,2.2,0,16
234,138218065,2006,14,375,13.0,150.0,1,2,2.0,1,13
235,138222871,2013,3,154,7.0,92.0,0,1,1.6,1,6
237,138217825,2005,0,58,13.0,179.0,0,0,2.0,1,14
238,138222611,2015,3,93,5.0,48.0,0,2,0.0,2,4
239,138222587,2018,1,214,0.0,170.0,0,2,0.0,2,1
240,134807214,2011,3,154,9.0,156.0,1,1,1.6,0,8
241,138222566,2012,29,194,8.0,105.0,0,1,1.6,1,7
242,138219239,2004,28,207,14.0,102.0,1,0,2.5,1,15
243,138218072,2006,1,31,12.0,150.0,0,2,2.0,1,13
244,138222537,2015,1,214,6.0,170.0,0,2,0.0,2,4
246,138222551,2016,6,175,1.0,101.0,1,1,1.0,0,3
247,138222545,2011,6,92,9.0,116.0,1,1,1.6,1,8
248,138222532,2007,17,327,13.0,106.0,1,1,1.5,1,12
250,138222539,2016,17,256,5.0,109.0,0,1,0.0,2,3
251,138222433,2017,29,412,1.0,60.0,1,1,1.0,0,2
253,138222353,2017,25,452,2.0,150.0,0,0,2.0,0,2
255,138222233,2011,14,91,7.0,120.0,1,2,2.1,1,8
256,138222241,2015,29,195,5.0,110.0,0,1,1.2,0,4
257,138222240,2007,19,12,12.0,88.0,1,1,1.4,0,12
258,138222229,2018,23,241,1.0,150.0,0,0,2.0,1,1
259,138222237,2018,30,444,2.0,408.0,0,0,2.0,3,1
261,129880934,2008,30,417,11.0,145.0,1,1,2.0,0,11
262,138217632,2004,28,139,14.0,116.0,1,1,2.0,1,15
263,138218177,2005,26,201,11.0,140.0,0,0,2.0,0,14
264,138220746,2007,29,229,12.0,105.0,1,1,1.9,1,12
265,138222062,2016,28,78,2.0,69.0,1,1,1.0,0,3
266,138222148,2015,0,59,3.0,211.0,0,0,3.0,1,4
267,94912293,2014,19,33,7.0,114.0,1,1,1.6,1,5
268,138221990,2015,0,58,11.0,150.0,0,1,2.0,1,4
269,138222004,2015,28,334,8.0,124.0,1,0,2.0,1,4
270,138217009,2000,14,130,14.0,100.0,0,2,2.0,0,19
271,138222013,2017,17,327,2.0,116.0,1,1,1.2,0,2
272,138135545,2006,30,417,13.0,109.0,1,1,2.0,1,13
273,138221980,2015,3,154,3.0,82.0,1,1,1.2,0,4
274,138221967,2015,17,327,5.0,131.0,0,1,1.6,1,4
275,138221979,2015,17,327,3.0,110.0,1,1,1.5,1,4
276,138221983,2015,28,453,5.0,73.0,0,1,1.5,3,4
277,138221962,2015,0,59,11.0,211.0,0,0,3.0,1,4
278,138221942,2014,13,37,10.0,150.0,1,1,2.2,1,5
280,138221870,2015,14,124,6.0,90.0,1,1,1.5,1,4
281,138221860,2013,7,126,8.0,120.0,1,1,1.6,1,6
282,138221868,2017,17,327,2.0,116.0,1,1,1.2,0,2
283,138221852,2016,1,214,2.0,170.0,0,2,0.0,2,3
284,138221859,2017,26,218,0.0,90.0,1,0,1.2,3,2
285,138221817,2015,29,191,10.0,105.0,1,0,1.6,1,4
286,138221805,2014,23,293,7.0,105.0,1,1,1.6,1,5
288,138221830,2015,0,56,7.0,150.0,1,0,2.0,1,4
289,138221758,2014,6,196,10.0,116.0,1,1,1.6,1,5
290,138221795,2016,29,191,3.0,110.0,0,1,1.6,1,3
291,138221797,2016,1,18,7.0,190.0,0,0,2.0,1,3
293,138221783,2015,28,317,7.0,99.0,0,1,1.8,3,4
294,138214582,2005,19,11,10.0,75.0,1,1,1.0,0,14
295,138218362,2003,17,285,14.0,133.0,1,0,2.5,1,16
296,138217497,2010,18,71,9.0,110.0,1,1,2.0,1,9
297,138221591,2016,30,442,7.0,163.0,0,0,2.4,1,3
298,138221400,2016,23,293,7.0,179.0,0,1,1.8,0,3
299,138221453,2015,29,306,9.0,140.0,1,1,2.0,1,4
301,138221360,2016,29,312,2.0,95.0,0,1,1.0,0,3
302,138221362,2012,29,405,10.0,140.0,1,0,2.0,1,7
303,138221335,2017,21,458,2.0,92.0,0,1,0.0,2,2
304,138221370,2016,30,442,8.0,163.0,0,0,2.4,1,3
305,138221352,2015,6,176,7.0,120.0,1,1,1.5,1,4
306,138221259,2005,17,309,13.0,174.0,0,0,2.5,1,14
308,138221255,2016,0,351,4.0,300.0,0,0,2.0,0,3
309,138221237,2019,1,434,0.0,190.0,0,0,2.0,1,0
310,138221203,2012,25,452,9.0,114.0,0,0,1.6,0,7
