finn_code,model_year,manufacturer,model,km,power,gear,trans,first_reg,cylinder,fuel_type,price
137782736,2009,Audi,A4,158000.0,160.0,Automat,FWD,2008,1798.0,Bensin,109719
137785108,2015,Fiat,Doblo,31000.0,105.0,Automat,FWD,2015,1.6,Diesel,139000
137786727,2016,Mercedes-Benz,V-Klasse,45500.0,190.0,Automat,AWD,2016,2.1,Diesel,850000
137782374,2010,Nissan,Note,172500.0,88.0,Manuell,FWD,2010,1386.0,Bensin,39696
137786688,2019,Volvo,XC 90,2990.0,390.0,Automat,AWD,2018,2.0,Hybrid,7995
137786561,2017,Mercedes-Benz,C-Klasse,64800.0,116.0,Automat,RWD,2016,1.6,Diesel,369900
137786524,2012,Volvo,XC 60,133900.0,163.0,Automat,AWD,2011,2.4,Diesel,339000
107693747,2016,Nissan,Leaf,44000.0,109.0,Automat,FWD,2016,0.0,Elektrisitet,199000
137786502,2017,Volvo,V40 Cross Country,28503.0,120.0,Automat,FWD,2017,2.0,Diesel,309000
137786509,2014,Volvo,XC 60,87827.0,163.0,Automat,AWD,2014,2.4,Diesel,398900
137635412,2018,Mercedes-Benz,CLA,15000.0,122.0,Automat,FWD,2018,1.6,Bensin,375500
137786464,2016,Volvo,XC 60,43233.0,163.0,Automat,AWD,2015,2.4,Diesel,489000
137786435,2017,Volvo,XC 60,40391.0,163.0,Automat,AWD,2016,2.4,Diesel,529000
137786368,2016,Volvo,V60,16208.0,190.0,Automat,FWD,2015,2.0,Diesel,369000
137786353,2017,Volkswagen,Tiguan,39106.0,190.0,Automat,AWD,2017,2.0,Diesel,498900
137786314,2016,Volvo,XC 90,37950.0,190.0,Automat,AWD,2016,2.0,Diesel,668900
137786301,2018,Volvo,V60,24961.0,288.0,Automat,AWD,2018,2.4,Hybrid,488900
137786197,2014,Mercedes-Benz,E-Klasse,385385.0,204.0,Automat,AWD,2013,2.1,Diesel,199900
137786105,2018,Volvo,V60,14560.0,288.0,Automat,AWD,2018,2.4,Hybrid,484000
137786088,2018,Volvo,XC 90,24261.0,407.0,Automat,AWD,2018,2.0,Hybrid,899000
137786043,2018,Volvo,XC 90,21190.0,407.0,Automat,AWD,2017,2.0,Hybrid,909000
137786022,2019,Volvo,XC 60,17580.0,390.0,Automat,AWD,2018,2.0,Hybrid,829000
137785779,2009,Suzuki,Swift,88000.0,91.0,Manuell,AWD,,1.3,Bensin,58696
136685655,2018,Volvo,V40,31943.0,120.0,Automat,FWD,2017,2.0,Diesel,333900
118303607,2004,Volvo,XC 90,266000.0,163.0,Automat,AWD,2007,2.4,Diesel,75000
137785371,2017,Mercedes-Benz,E-Klasse,60500.0,194.0,Automat,RWD,2016,2.0,Diesel,499000
137785370,2016,Volkswagen,Transporter,118100.0,150.0,Manuell,AWD,2015,,Diesel,289900
137785330,2008,BMW,X3,192000.0,177.0,Automat,AWD,,2.0,Diesel,109900
137785311,2010,Mercedes-Benz,E-Klasse,155551.0,136.0,Automat,RWD,2009,2.1,Diesel,149900
137785270,2010,Audi,A3,147000.0,140.0,Manuell,FWD,,2.0,Diesel,99900
137782144,2011,BMW,3-serie,113000.0,184.0,Automat,RWD,2011,1995.0,Diesel,178775
116735969,2012,BMW,X3,159000.0,163.0,Automat,AWD,2012,1995.0,Diesel,215000
135761854,2014,Ford,Transit Connect,49300.0,95.0,Manuell,FWD,2014,1.6,Diesel,111275
137783653,2014,BMW,i3,56000.0,,Automat,RWD,,,Elektrisitet,168000
137784642,2008,Mitsubishi,Outlander,158000.0,140.0,Manuell,AWD,,2.0,Diesel,109000
