,finn_code,manufacturer,model,km,power,cylinder,model_age,trans_0,trans_1,trans_2,fuel_type_0,fuel_type_1,fuel_type_2,fuel_type_3,fuel_type_4,gear_0,gear_1,price
957,138205408,25,298,277.0,150.0,2.5,21,1,0,0,1,0,0,0,0,1,0,28.999999999999993
2748,138144130,26,201,186.0,106.0,1.6,13,1,0,0,1,0,0,0,0,0,1,38.0
3768,138120326,1,214,22.0,102.0,0.0,2,0,0,1,0,0,1,0,0,1,0,307.9999999999998
2618,138148275,28,317,121.0,99.0,1.8,4,0,1,0,0,0,0,1,0,1,0,119.99999999999996
7099,133920869,1,436,169.0,150.0,2.0,12,1,0,0,0,1,0,0,0,0,1,81.0
5042,138064203,19,23,39.0,131.0,1.2,3,0,1,0,1,0,0,0,0,1,0,238.00000000000006
907,117098462,14,128,64.0,360.0,2.0,4,1,0,0,1,0,0,0,0,1,0,496.0000000000002
163,138224726,0,56,59.0,190.0,2.0,3,1,0,0,0,1,0,0,0,1,0,399.9999999999999
9026,137819055,0,59,29.0,190.0,3.0,1,1,0,0,0,1,0,0,0,1,0,665.0000000000001
57,138227093,7,209,30.0,131.0,1.5,2,0,1,0,1,0,0,0,0,1,0,289.0000000000001
8470,137838532,30,442,9.0,320.0,2.0,1,1,0,0,0,0,0,1,0,1,0,784.9999999999997
4981,138065376,6,248,45.0,150.0,2.0,2,1,0,0,0,1,0,0,0,1,0,438.9999999999998
3178,138135145,30,444,39.0,235.0,2.0,1,1,0,0,0,1,0,0,0,1,0,858.9999999999994
4112,138096753,18,71,215.0,101.0,1.7,12,0,1,0,0,1,0,0,0,0,1,16.999999999999996
2173,138152803,13,37,60.0,192.0,2.5,4,0,1,0,1,0,0,0,0,1,0,279.99999999999983
755,138210412,30,418,58.0,163.0,2.4,2,1,0,0,0,0,0,1,0,1,0,398.9999999999998
5508,138054926,13,149,36.0,160.0,2.0,2,1,0,0,1,0,0,0,0,1,0,385.0000000000001
700,138211666,1,434,59.0,163.0,2.0,3,1,0,0,0,1,0,0,0,1,0,433.99999999999994
5670,138050478,19,89,75.0,131.0,2.2,5,0,1,0,0,1,0,0,0,0,1,178.99999999999983
7776,122591459,14,80,44.0,184.0,2.0,6,1,0,0,1,0,0,0,0,1,0,220.00000000000006
1634,138190714,0,376,73.0,313.0,3.0,5,1,0,0,0,1,0,0,0,1,0,579.0000000000002
706,138211564,30,422,39.0,190.0,2.0,2,1,0,0,0,1,0,0,0,1,0,669.0
9144,137816887,17,256,0.0,122.0,0.0,1,0,1,0,0,0,1,0,0,1,0,329.9999999999997
4176,138091389,6,270,213.0,150.0,2.3,15,1,0,0,1,0,0,0,0,0,1,46.99999999999998
11021,137748659,16,299,34.0,202.0,2.0,3,1,0,0,0,0,0,1,0,1,0,368.9999999999999
319,138220947,28,453,30.0,73.0,1.5,3,0,1,0,0,0,0,1,0,1,0,171.99999999999991
7143,137940901,17,256,105.0,109.0,0.0,6,0,1,0,0,0,1,0,0,1,0,95.99999999999994
10724,137758779,0,52,65.0,95.0,1.0,4,0,1,0,1,0,0,0,0,1,0,159.99999999999994
7394,137911926,28,317,86.0,136.0,1.8,9,0,1,0,0,0,0,1,0,1,0,101.99999999999994
10433,137775690,18,457,73.0,136.0,1.6,5,0,1,0,0,1,0,0,0,0,1,198.99999999999983
