,finn_code,manufacturer,model,km,power,cylinder,model_age,trans_0,trans_1,trans_2,fuel_type_0,fuel_type_1,fuel_type_2,fuel_type_3,fuel_type_4,gear_0,gear_1,price
4057,138107928,18,140,71.0,90.0,1.4,12,0,1,0,1,0,0,0,0,0,1,44.99999999999998
7208,137936048,30,441,1.0,190.0,2.0,1,1,0,0,0,1,0,0,0,1,0,529.9999999999997
8401,137842035,1,438,32.0,313.0,2.0,2,1,0,0,0,0,0,1,0,1,0,724.9999999999998
4135,133014267,14,91,65.0,279.0,2.0,3,0,0,1,0,0,0,1,0,1,0,379.9999999999999
8298,137822165,14,159,210.0,143.0,2.2,18,0,0,1,0,1,0,0,0,1,0,34.99999999999999
6566,137996216,29,191,41.0,115.0,0.0,2,0,1,0,0,0,1,0,0,1,0,229.9999999999999
4971,138065605,30,443,81.0,181.0,2.4,4,1,0,0,0,1,0,0,0,1,0,438.9999999999998
3494,138102414,30,420,131.0,109.0,2.0,8,0,1,0,0,1,0,0,0,0,1,114.00000000000001
10058,137793023,7,126,95.0,120.0,1.6,6,0,1,0,0,1,0,0,0,0,1,128.99999999999994
6967,137965487,14,159,52.0,252.0,3.0,5,1,0,0,0,1,0,0,0,1,0,499.0
4005,138108344,23,293,185.0,140.0,2.0,8,1,0,0,0,1,0,0,0,1,0,108.99999999999997
348,138220109,29,191,12.0,110.0,1.6,3,0,1,0,0,1,0,0,0,1,0,209.0
2902,138141406,14,80,42.0,180.0,0.0,3,0,1,0,0,0,1,0,0,1,0,229.00000000000009
9158,137816621,28,453,41.0,100.0,1.5,4,0,1,0,0,0,0,1,0,1,0,155.0
2288,138153707,23,293,2.0,190.0,2.0,0,1,0,0,1,0,0,0,0,1,0,479.99999999999983
8509,137823240,8,360,311.0,155.0,2.2,10,1,0,0,0,1,0,0,0,1,0,28.999999999999993
6191,134360943,17,327,46.0,131.0,2.0,5,1,0,0,0,1,0,0,0,0,1,240.0000000000001
11130,135163162,16,300,196.0,170.0,3.0,12,1,0,0,0,1,0,0,0,1,0,234.0
10565,137767654,28,334,125.0,150.0,2.2,6,1,0,0,0,1,0,0,0,1,0,268.99999999999994
10054,137793080,14,187,10.0,204.0,2.0,1,1,0,0,0,1,0,0,0,1,0,838.9999999999992
142,138225030,0,54,47.0,110.0,1.6,2,0,1,0,0,1,0,0,0,0,1,229.9999999999999
4442,138080717,30,442,55.0,163.0,2.4,2,1,0,0,0,1,0,0,0,1,0,525.0
4425,138080322,0,351,168.0,265.0,2.0,10,1,0,0,1,0,0,0,0,1,0,232.99999999999994
7439,137908526,27,274,21.0,420.0,0.0,1,1,0,0,0,0,1,0,0,1,0,629.9999999999999
4496,138078537,30,418,10.0,190.0,2.0,0,0,1,0,0,1,0,0,0,1,0,629.0000000000001
3914,134940967,0,326,197.0,232.0,3.0,12,1,0,0,0,1,0,0,0,1,0,217.99999999999991
4763,137945383,29,191,142.0,140.0,2.0,10,0,1,0,0,1,0,0,0,0,1,94.00000000000001
10837,137754747,30,418,54.0,120.0,2.0,1,0,1,0,0,1,0,0,0,1,0,358.9999999999998
7932,137875458,29,107,105.0,110.0,2.0,4,1,0,0,0,1,0,0,0,0,1,133.99999999999997
774,124630110,27,274,145.0,422.0,0.0,6,0,0,1,0,0,1,0,0,1,0,399.9999999999999
7513,137905118,30,442,44.0,163.0,2.4,3,1,0,0,0,1,0,0,0,1,0,454.9999999999999
9236,137793648,6,92,21.0,116.0,2.0,8,0,1,0,0,1,0,0,0,1,0,128.99999999999994
265,138222062,28,78,20.0,69.0,1.0,3,0,1,0,1,0,0,0,0,0,1,134.99999999999997
297,138221591,30,442,74.0,163.0,2.4,3,1,0,0,0,1,0,0,0,1,0,468.9999999999997
5818,138046297,30,418,50.0,231.0,2.4,3,1,0,0,0,0,0,1,0,1,0,338.9999999999996
1803,138176003,29,191,153.0,150.0,2.0,3,1,0,0,0,1,0,0,0,0,1,170.0
8432,137836023,29,191,200.0,105.0,1.6,9,0,1,0,0,1,0,0,0,0,1,63.99999999999998
4372,138076536,6,175,142.0,69.0,1.4,8,0,1,0,0,1,0,0,0,0,1,47.99999999999997
6181,87331207,1,31,240.0,177.0,2.5,15,0,0,1,0,1,0,0,0,1,0,71.99999999999996
10803,129062825,29,306,212.0,140.0,2.0,6,0,1,0,0,1,0,0,0,0,1,103.00000000000003
4099,138100186,23,382,59.0,180.0,2.0,3,0,1,0,1,0,0,0,0,1,0,369.9999999999999
4182,138094194,3,84,82.0,90.0,1.6,7,0,1,0,0,1,0,0,0,0,1,79.99999999999994
1886,134224484,0,54,78.0,125.0,1.0,9,0,1,0,1,0,0,0,0,0,1,108.99999999999997
10281,107693747,17,256,44.0,109.0,0.0,3,0,1,0,0,0,1,0,0,1,0,198.99999999999983
9115,137817446,19,22,59.0,116.0,1.6,5,0,1,0,0,1,0,0,0,0,1,145.00000000000003
10371,137772347,21,458,18.0,88.0,0.0,3,0,1,0,0,0,1,0,0,1,0,168.99999999999997
1364,138196875,23,244,23.0,190.0,2.0,1,1,0,0,0,1,0,0,0,1,0,589.9999999999997
9986,137794802,13,16,81.0,109.0,1.6,10,0,1,0,0,1,0,0,0,0,1,70.00000000000003
8847,137822577,28,75,112.0,126.0,2.0,8,0,1,0,0,1,0,0,0,0,1,139.0
6333,134869139,30,443,115.0,163.0,2.4,9,1,0,0,0,1,0,0,0,1,0,241.99999999999991
10672,137761336,30,418,9.0,231.0,2.4,1,1,0,0,0,0,0,1,0,1,0,438.9999999999998
10935,137751186,29,312,29.0,110.0,1.2,3,0,1,0,1,0,0,0,0,1,0,199.9999999999999
10343,137782042,14,51,32.0,122.0,1.6,3,0,1,0,1,0,0,0,0,1,0,238.99999999999994
4600,138074268,19,22,26.0,150.0,2.0,4,0,1,0,0,1,0,0,0,1,0,234.0
3158,138135491,29,412,22.0,60.0,1.0,3,0,1,0,1,0,0,0,0,0,1,118.9999999999999
3483,138123241,0,59,131.0,204.0,3.0,6,1,0,0,0,1,0,0,0,1,0,342.9999999999998
8088,137864313,28,208,95.0,144.0,2.5,6,1,0,0,0,1,0,0,0,0,1,238.99999999999994
3929,138116421,18,71,17.0,150.0,1.4,1,0,1,0,1,0,0,0,0,1,0,318.99999999999983
3895,138117147,23,382,80.0,170.0,2.0,4,1,0,0,0,1,0,0,0,1,0,328.9999999999998
1354,138197095,19,303,97.0,75.0,1.6,6,0,1,0,0,1,0,0,0,0,1,70.00000000000003
9169,134717998,14,429,296.0,150.0,2.1,13,1,0,0,0,1,0,0,0,0,1,48.99999999999996
3332,138044668,0,56,92.0,177.0,2.0,4,1,0,0,0,1,0,0,0,1,0,318.99999999999983
9890,137795221,29,114,146.0,131.0,2.5,15,0,1,0,0,1,0,0,0,1,0,155.0
6242,137231585,11,120,66.0,100.0,1.4,5,0,1,0,1,0,0,0,0,0,1,139.0
5495,138055224,1,18,290.0,150.0,2.0,17,0,0,1,0,1,0,0,0,1,0,19.999999999999993
855,135647154,6,175,91.0,80.0,1.0,5,0,1,0,1,0,0,0,0,0,1,78.99999999999996
5040,67440701,16,250,270.0,167.0,2.5,10,1,0,0,0,1,0,0,0,0,1,93.00000000000006
5371,138058327,17,256,38.0,109.0,0.0,4,0,1,0,0,0,1,0,0,1,0,158.99999999999997
10552,137768400,11,369,14.0,111.0,0.0,1,0,1,0,0,0,1,0,0,1,0,264.9999999999997
8106,132558768,26,201,130.0,106.0,1.6,10,1,0,0,1,0,0,0,0,0,1,72.99999999999996
1610,132463344,21,129,96.0,58.0,1.2,17,0,1,0,1,0,0,0,0,0,1,18.999999999999993
2677,138141847,23,174,101.0,69.0,1.2,11,0,1,0,1,0,0,0,0,0,1,47.99999999999997
7583,137898152,28,207,260.0,102.0,2.5,16,1,0,0,0,1,0,0,0,0,1,68.00000000000001
388,138218932,29,405,120.0,140.0,2.0,7,1,0,0,0,1,0,0,0,0,1,209.99999999999972
9806,137799791,30,420,38.0,181.0,2.0,3,0,1,0,0,1,0,0,0,0,1,345.0000000000002
6831,137972978,1,18,166.0,177.0,2.0,11,1,0,0,0,1,0,0,0,0,1,168.99999999999997
5397,138057712,29,392,78.0,140.0,2.0,4,1,0,0,0,1,0,0,0,1,0,328.0000000000001
6940,137951731,1,18,89.0,122.0,1.6,11,0,0,1,1,0,0,0,0,0,1,90.00000000000001
7101,92028299,17,309,88.0,190.0,2.5,5,1,0,0,0,1,0,0,0,1,0,254.9999999999999
10689,137760507,28,208,314.0,75.0,2.0,13,1,0,0,0,1,0,0,0,0,1,27.99999999999999
4401,138082394,29,191,56.0,122.0,1.4,4,0,1,0,1,0,0,0,0,1,0,219.0
10292,137786105,30,418,15.0,288.0,2.4,1,1,0,0,0,0,0,1,0,1,0,483.99999999999994
1845,131838550,17,310,334.0,129.0,2.8,20,1,0,0,0,1,0,0,0,0,1,66.99999999999996
1615,138191365,19,29,221.0,136.0,2.0,12,0,1,0,0,1,0,0,0,0,1,50.00000000000001
630,138213001,14,429,221.0,163.0,2.1,8,1,0,0,0,1,0,0,0,1,0,129.99999999999994
3073,138137134,29,191,26.0,115.0,0.0,3,0,1,0,0,0,1,0,0,1,0,199.9999999999999
7056,137953501,19,89,94.0,131.0,2.2,6,0,1,0,0,1,0,0,0,0,1,159.99999999999994
5087,138058568,29,191,121.0,105.0,2.0,9,0,1,0,0,1,0,0,0,0,1,88.99999999999994
6231,120398743,6,92,125.0,116.0,1.6,7,0,1,0,0,1,0,0,0,0,1,119.99999999999996
3713,138117199,1,31,152.0,216.0,2.0,11,0,0,1,0,1,0,0,0,1,0,119.99999999999996
10385,137779041,0,61,252.0,260.0,3.1,12,1,0,0,1,0,0,0,0,1,0,181.99999999999994
10917,137751483,13,37,129.0,125.0,2.2,9,0,1,0,0,1,0,0,0,0,1,74.99999999999999
8006,132207608,14,159,200.0,170.0,2.1,12,0,0,1,0,1,0,0,0,1,0,83.99999999999994
10317,101549207,0,55,303.0,200.0,2.0,13,1,0,0,1,0,0,0,0,1,0,41.0
7257,137850665,29,306,285.0,140.0,2.0,13,0,1,0,0,1,0,0,0,0,1,40.00000000000001
10736,128614343,22,46,227.0,150.0,2.0,13,0,1,0,1,0,0,0,0,1,0,36.99999999999999
1041,138203698,29,191,4.0,136.0,0.0,1,0,1,0,0,0,1,0,0,1,0,309.00000000000017
5185,138058440,6,400,260.0,140.0,2.4,8,0,0,1,0,1,0,0,0,0,1,146.99999999999997
8029,135781221,1,40,260.0,218.0,3.0,16,0,0,1,0,1,0,0,0,1,0,86.99999999999997
8611,137827181,19,303,152.0,75.0,2.0,11,0,1,0,0,1,0,0,0,0,1,22.00000000000001
6378,118438499,17,256,108.0,109.0,0.0,6,0,1,0,0,0,1,0,0,1,0,90.00000000000001
6639,137988833,30,443,193.0,200.0,2.4,18,1,0,0,1,0,0,0,0,1,0,52.0
9529,137807609,7,126,4.0,129.0,1.0,2,0,1,0,1,0,0,0,0,0,1,229.9999999999999
10678,137757530,17,256,45.0,109.0,0.0,4,0,1,0,0,0,1,0,0,1,0,164.99999999999994
969,138205520,18,456,194.0,120.0,1.9,11,0,1,0,0,1,0,0,0,1,0,40.00000000000001
3791,138119737,29,192,24.0,184.0,2.0,2,1,0,0,0,1,0,0,0,1,0,368.9999999999999
3779,135189470,29,312,304.0,75.0,2.0,23,0,1,0,1,0,0,0,0,0,1,15.999999999999991
4862,137571332,1,31,161.0,218.0,3.0,15,0,0,1,0,1,0,0,0,1,0,128.99999999999994
1279,138198891,14,429,125.0,150.0,2.1,11,1,0,0,0,1,0,0,0,1,0,128.99999999999994
6505,137999252,29,306,194.0,140.0,2.0,13,0,1,0,0,1,0,0,0,1,0,44.99999999999998
9956,137795839,0,376,131.0,313.0,3.0,5,1,0,0,0,1,0,0,0,1,0,549.9999999999997
